time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,City,State
2018-04-29,24.6,20.6,28.9,0.0,0.0,83.0,12.2,,1017.1,,Miami,Florida
2018-04-30,25.7,22.8,28.9,0.0,0.0,64.0,16.9,,1019.6,,Miami,Florida
2018-05-01,25.3,22.8,28.3,1.8,0.0,63.0,19.8,,1020.8,,Miami,Florida
2018-05-02,24.9,22.2,28.3,5.6,0.0,63.0,22.0,,1021.1,,Miami,Florida
2018-05-03,25.6,23.3,28.9,1.0,0.0,64.0,22.7,,1020.2,,Miami,Florida
2018-05-04,25.6,21.7,28.3,13.2,0.0,57.0,18.4,,1017.9,,Miami,Florida
2018-05-05,25.5,22.2,28.9,2.8,0.0,77.0,14.8,,1013.4,,Miami,Florida
2018-05-06,26.3,22.8,30.0,7.1,0.0,158.0,13.7,,1014.0,,Miami,Florida
2018-05-07,26.1,22.2,31.1,17.0,0.0,,6.8,,1014.0,,Miami,Florida
2018-05-08,26.4,23.9,30.0,0.0,0.0,39.0,13.7,,1015.0,,Miami,Florida
2018-05-09,25.9,22.8,30.0,0.0,0.0,42.0,15.1,,1017.1,,Miami,Florida
2018-05-10,25.6,22.8,28.9,0.0,0.0,60.0,15.5,,1018.1,,Miami,Florida
2018-05-11,26.3,23.9,29.4,0.0,0.0,66.0,15.8,,1018.7,,Miami,Florida
2018-05-12,25.4,24.4,26.7,0.0,0.0,58.0,14.8,,1018.4,,Miami,Florida
2018-05-13,24.9,21.7,27.2,31.2,0.0,86.0,12.6,,1016.3,,Miami,Florida
2018-05-14,24.5,21.7,28.9,15.0,0.0,116.0,14.8,,1014.2,,Miami,Florida
2018-05-15,25.7,20.6,30.6,20.1,0.0,131.0,14.0,,1014.8,,Miami,Florida
2018-05-16,24.7,22.2,30.0,0.0,0.0,117.0,12.6,,1014.8,,Miami,Florida
2018-05-17,25.1,22.2,27.8,20.6,0.0,132.0,9.4,,1015.1,,Miami,Florida
2018-05-18,25.4,22.8,29.4,0.0,0.0,118.0,12.2,,1014.9,,Miami,Florida
2018-05-19,24.2,21.7,25.6,15.5,0.0,117.0,12.2,,1017.0,,Miami,Florida
2018-05-20,23.8,21.7,26.7,63.5,0.0,118.0,17.6,,1017.6,,Miami,Florida
2018-05-21,25.2,23.3,27.2,0.0,0.0,108.0,21.6,,1017.1,,Miami,Florida
2018-05-22,26.1,25.0,28.9,0.0,0.0,110.0,21.6,,1017.6,,Miami,Florida
2018-05-23,26.7,24.4,30.0,0.0,0.0,107.0,18.0,,1018.0,,Miami,Florida
2018-05-24,26.6,24.4,30.0,0.0,0.0,104.0,15.5,,1017.5,,Miami,Florida
2018-05-25,25.3,22.2,27.2,16.8,0.0,106.0,14.4,,1015.6,,Miami,Florida
2018-05-26,24.6,21.7,25.6,40.9,0.0,106.0,21.6,,1012.6,,Miami,Florida
2018-05-27,25.1,23.3,28.3,34.8,0.0,146.0,25.6,,1009.7,,Miami,Florida
2018-05-28,25.4,23.3,27.2,1.8,0.0,157.0,20.5,,1012.4,,Miami,Florida
2018-05-29,26.4,22.8,30.0,21.3,0.0,152.0,14.0,,1014.3,,Miami,Florida
2018-05-30,27.6,25.6,31.1,0.0,0.0,129.0,17.3,,1015.4,,Miami,Florida
2018-05-31,26.4,23.9,28.9,91.4,0.0,124.0,10.8,,1016.4,,Miami,Florida
2018-06-01,26.8,23.9,30.0,0.0,0.0,133.0,9.0,,1015.9,,Miami,Florida
2018-06-02,27.2,23.3,31.7,0.0,0.0,182.0,8.6,,1014.9,,Miami,Florida
2018-06-03,28.1,25.0,33.3,0.0,0.0,253.0,10.4,,1015.5,,Miami,Florida
2018-06-04,28.9,25.6,33.3,0.0,0.0,257.0,11.9,,1015.4,,Miami,Florida
2018-06-05,28.9,26.1,33.9,0.0,0.0,258.0,14.4,,1013.8,,Miami,Florida
2018-06-06,29.0,25.0,34.4,0.0,0.0,241.0,12.2,,1013.3,,Miami,Florida
2018-06-07,26.4,21.7,31.7,34.5,0.0,164.0,10.4,,1016.3,,Miami,Florida
2018-06-08,26.9,24.4,31.1,0.3,0.0,90.0,9.4,,1019.3,,Miami,Florida
2018-06-09,26.3,21.7,30.0,60.2,0.0,50.0,5.8,,1019.1,,Miami,Florida
2018-06-10,26.8,24.4,29.4,0.3,0.0,62.0,5.8,,1017.7,,Miami,Florida
2018-06-11,26.4,23.9,29.4,1.3,0.0,,6.5,,1016.6,,Miami,Florida
2018-06-12,26.6,23.9,30.6,3.3,0.0,,10.1,,1017.5,,Miami,Florida
2018-06-13,27.4,25.0,31.1,0.0,0.0,134.0,7.6,,1018.4,,Miami,Florida
2018-06-14,26.3,22.8,31.1,36.3,0.0,,4.0,,1018.4,,Miami,Florida
2018-06-15,26.6,23.3,31.7,0.5,0.0,,6.1,,1017.6,,Miami,Florida
2018-06-16,27.0,23.3,31.7,0.5,0.0,,8.6,,1017.7,,Miami,Florida
2018-06-17,28.3,25.0,32.2,0.0,0.0,86.0,10.1,,1018.7,,Miami,Florida
2018-06-18,28.2,25.0,31.7,0.0,0.0,73.0,7.9,,1018.2,,Miami,Florida
2018-06-19,28.4,25.6,31.1,0.0,0.0,42.0,9.4,,1016.0,,Miami,Florida
2018-06-20,28.4,25.0,33.3,0.0,0.0,,8.3,,1014.4,,Miami,Florida
2018-06-21,28.8,25.6,34.4,1.0,0.0,218.0,9.0,,1014.2,,Miami,Florida
2018-06-22,28.8,23.9,34.4,10.9,0.0,230.0,7.2,,1015.3,,Miami,Florida
2018-06-23,28.1,23.3,32.8,4.6,0.0,,5.8,,1016.4,,Miami,Florida
2018-06-24,27.6,24.4,32.2,19.3,0.0,,6.8,,1017.0,,Miami,Florida
2018-06-25,28.2,25.6,32.2,0.0,0.0,123.0,13.3,,1018.3,,Miami,Florida
2018-06-26,28.8,25.6,32.2,0.8,0.0,112.0,10.1,,1018.9,,Miami,Florida
2018-06-27,28.3,23.9,31.7,6.9,0.0,97.0,7.6,,1018.5,,Miami,Florida
2018-06-28,27.5,23.9,33.3,3.6,0.0,245.0,6.1,,1017.7,,Miami,Florida
2018-06-29,26.7,23.9,32.2,0.0,0.0,197.0,4.3,,1017.4,,Miami,Florida
2018-06-30,27.0,23.9,30.6,16.3,0.0,193.0,4.0,,1017.3,,Miami,Florida
2018-07-01,28.3,23.9,32.2,1.5,0.0,141.0,6.5,,1017.2,,Miami,Florida
2018-07-02,29.3,25.6,32.8,0.0,0.0,55.0,7.9,,1016.4,,Miami,Florida
2018-07-03,28.6,25.6,31.7,8.4,0.0,24.0,8.6,,1015.8,,Miami,Florida
2018-07-04,27.5,23.3,31.7,1.5,0.0,,6.5,,1016.9,,Miami,Florida
2018-07-05,27.2,24.4,32.2,1.8,0.0,,10.4,,1019.3,,Miami,Florida
2018-07-06,28.2,22.2,32.2,17.0,0.0,90.0,9.7,,1019.5,,Miami,Florida
2018-07-07,28.3,23.9,32.2,18.3,0.0,,7.6,,1018.9,,Miami,Florida
2018-07-08,28.8,25.6,32.8,0.0,0.0,54.0,12.2,,1020.2,,Miami,Florida
2018-07-09,29.7,26.1,33.3,0.0,0.0,79.0,9.0,,1020.2,,Miami,Florida
2018-07-10,28.6,23.3,32.2,11.4,0.0,,5.4,,1017.7,,Miami,Florida
2018-07-11,26.4,23.9,32.2,1.0,0.0,60.0,7.6,,1016.4,,Miami,Florida
2018-07-12,27.6,23.9,32.8,2.5,0.0,,5.8,,1018.5,,Miami,Florida
2018-07-13,27.4,23.9,33.9,2.5,0.0,,4.7,,1019.5,,Miami,Florida
2018-07-14,28.4,25.0,32.8,0.0,0.0,36.0,8.3,,1018.4,,Miami,Florida
2018-07-15,28.6,24.4,32.8,0.0,0.0,82.0,7.9,,1017.5,,Miami,Florida
2018-07-16,29.1,26.7,32.8,0.0,0.0,173.0,8.6,,1018.3,,Miami,Florida
2018-07-17,29.2,26.1,33.3,0.0,0.0,,7.9,,1019.0,,Miami,Florida
2018-07-18,29.3,24.4,33.9,10.4,0.0,177.0,7.9,,1017.6,,Miami,Florida
2018-07-19,29.1,26.1,33.9,1.8,0.0,181.0,10.1,,1016.0,,Miami,Florida
2018-07-20,28.9,25.6,33.3,8.6,0.0,166.0,9.0,,1016.1,,Miami,Florida
2018-07-21,29.8,26.1,34.4,0.0,0.0,229.0,10.8,,1015.6,,Miami,Florida
2018-07-22,29.7,26.1,33.9,1.3,0.0,245.0,9.7,,1013.8,,Miami,Florida
2018-07-23,28.6,23.9,34.4,7.6,0.0,190.0,13.7,,1012.8,,Miami,Florida
2018-07-24,27.0,23.9,31.1,35.1,0.0,183.0,9.7,,1014.6,,Miami,Florida
2018-07-25,28.6,26.1,33.3,0.0,0.0,162.0,9.7,,1015.5,,Miami,Florida
2018-07-26,29.4,24.4,33.3,0.8,0.0,162.0,8.3,,1016.6,,Miami,Florida
2018-07-27,28.1,24.4,32.2,0.0,0.0,105.0,6.5,,1017.3,,Miami,Florida
2018-07-28,28.3,23.3,33.9,54.6,0.0,61.0,6.1,,1016.9,,Miami,Florida
2018-07-29,27.2,23.9,30.6,9.1,0.0,151.0,7.6,,1017.0,,Miami,Florida
2018-07-30,26.6,23.9,29.4,5.6,0.0,149.0,4.3,,1018.2,,Miami,Florida
2018-07-31,28.2,25.0,32.2,2.8,0.0,117.0,14.8,,1018.7,,Miami,Florida
2018-08-01,28.4,25.6,32.2,2.8,0.0,131.0,13.7,,1018.3,,Miami,Florida
